Xpos,Ypos,m_z,mobility,inten,msFWHM,mobilityFWHM
0.0000,0.0000,620.3777,103.683,913,0.027088,2.876
0.0000,0.0000,610.3449,101.733,1073,0.030056,3.667
0.0000,0.0000,187.0998,35.102,2024,0.013104,2.254
0.0000,0.0000,187.0998,35.345,1317,0.013844,2.408
0.0000,0.0000,621.3775,102.922,296,0.029868,2.217
0.0000,0.0000,232.7657,23.248,904,0.014246,2.101
0.0000,0.0000,610.3463,100.892,379,0.039622,3.632
0.0000,0.0000,620.3792,103.005,484,0.035769,3.487
0.0000,0.0000,234.7647,23.530,531,0.015454,2.323
0.0000,0.0000,232.7661,23.458,935,0.014657,2.077
0.0000,0.0000,213.0580,39.251,1969,0.01181,2.213
0.0000,0.0000,213.0579,39.564,3837,0.012615,2.372
0.0000,0.0000,234.7664,24.095,719,0.012274,2.625
0.0000,0.0000,213.0611,39.879,4778,0.014819,2.209
0.0000,0.0000,343.0504,53.335,656,0.02103,2.619
0.0000,0.0000,236.0998,43.885,763,0.017739,1.907
0.0000,0.0000,134.8679,20.178,1162,0.01094,2.155
0.0000,0.0000,213.0605,39.247,3356,0.016363,2.581
0.0000,0.0000,375.1709,62.244,521,0.020797,4.018
0.0000,0.0000,232.7681,23.288,698,0.019629,2.137
0.0000,0.0000,236.1017,44.328,1230,0.015598,2.199
0.0000,0.0000,213.0596,39.340,1666,0.014656,2.392
0.0000,0.0000,134.8681,20.295,1045,0.0097784,2.039
0.0000,0.0000,195.0739,39.008,504,0.018014,2.326
0.0000,0.0000,232.7675,23.756,659,0.014409,2.187
0.0000,0.0000,592.3373,96.932,512,0.021338,3.339
0.0000,0.0000,134.8678,20.795,796,0.01213,2.269
0.0000,0.0000,337.0676,57.176,1137,0.022188,2.467
0.0000,0.0000,603.3664,95.344,639,0.033906,2.462
0.0000,0.0000,593.3335,94.980,675,0.034524,2.851
0.0000,0.0000,607.2414,121.646,752,0.027488,4.151
0.0000,0.0000,594.3316,95.853,762,0.03264,2.473
0.0000,0.0000,337.1731,57.012,815,0.015456,1.989
0.0000,0.0000,339.0671,56.996,1735,0.01967,2.415
0.0000,0.0000,592.3391,95.429,1746,0.028772,3.447
0.0000,0.0000,602.3631,96.714,2631,0.024635,3.672
0.0000,0.0000,338.0717,57.092,3356,0.01575,2.580
0.0000,0.0000,337.0684,57.103,23017,0.017815,2.634
0.0000,0.0000,593.3433,94.945,414,0.025092,2.893
0.0000,0.0000,607.2368,120.675,452,0.032296,3.090
0.0000,0.0000,594.3311,96.339,516,0.02693,2.730
0.0000,0.0000,737.0647,109.752,575,0.028075,2.654
0.0000,0.0000,436.9674,64.659,620,0.03091,2.505
0.0000,0.0000,343.0535,54.073,771,0.021178,2.648
0.0000,0.0000,434.9671,65.095,804,0.029272,2.481
0.0000,0.0000,339.0640,56.399,876,0.027913,2.805
0.0000,0.0000,603.3669,96.564,953,0.036307,2.693
0.0000,0.0000,337.1708,56.844,1387,0.014887,2.269
0.0000,0.0000,602.3650,96.232,1724,0.032118,3.495
0.0000,0.0000,592.3358,96.137,1988,0.03221,3.009
0.0000,0.0000,338.0709,56.606,3610,0.017491,2.807
0.0000,0.0000,337.0680,56.833,33688,0.016126,2.669
0.0000,0.0000,602.3649,96.786,568,0.028666,2.455
0.0000,0.0000,339.0639,57.201,1527,0.020451,2.106
0.0000,0.0000,338.0696,57.034,3277,0.019669,2.531
0.0000,0.0000,337.0670,57.172,19041,0.016728,2.432
0.0000,0.0000,338.0723,57.625,493,0.026135,3.152
0.0000,0.0000,337.0668,57.141,3392,0.016999,2.929
0.0000,0.0000,337.0663,56.959,794,0.019479,2.704
